zip_code,yr,avg_appr_val,yoy_change_pct
77075,2023,232668.9,11.54
77075,2024,245048.31,5.32
77075,2025,251683.01,2.71
77076,2023,169001.06,16.73
77076,2024,180809.44,6.99
77076,2025,188819.67,4.43
77077,2023,426346.46,9.75
77077,2024,440752.34,3.38
77077,2025,453725.74,2.94
77078,2023,130455.64,19.08
77078,2024,138432.07,6.11
77078,2025,145508.87,5.11
77079,2023,690364.11,10.79
77079,2024,739964.92,7.18
77079,2025,783699.39,5.91
77080,2023,330969.97,10.89
77080,2024,343328.44,3.73
77080,2025,362614.31,5.62
77081,2023,451842.99,8.2
77081,2024,452754.75,0.2
77081,2025,471732.25,4.19
77082,2023,326489.66,11.29
77082,2024,337490.65,3.37
77082,2025,345833.45,2.47
77083,2023,248049.79,11.9
77083,2024,260839.39,5.16
77083,2025,269085.06,3.16
77084,2023,257515.25,11.58
77084,2024,268888.42,4.42
77084,2025,275114.2,2.32
77085,2023,203303.01,11.09
77085,2024,217009.49,6.74
77085,2025,227174.77,4.68
77086,2023,203878.67,11.78
77086,2024,214844.16,5.38
77086,2025,225585.32,5.0
77087,2023,163177.81,11.99
77087,2024,170108.7,4.25
77087,2025,179117.66,5.3
77088,2023,183163.32,13.56
77088,2024,193594.02,5.69
77088,2025,204675.99,5.72
77089,2023,266520.1,11.34
77089,2024,278138.98,4.36
77089,2025,285936.36,2.8
77090,2023,254379.19,11.47
77090,2024,263767.64,3.69
77090,2025,268017.64,1.61
77091,2023,223285.39,17.35
77091,2024,244640.22,9.56
77091,2025,256724.93,4.94
77092,2023,279192.66,9.12
77092,2024,286016.82,2.44
77092,2025,292840.81,2.39
77093,2023,146774.54,18.99
77093,2024,155871.8,6.2
77093,2025,167631.01,7.54
77094,2023,551724.91,10.08
77094,2024,582136.81,5.51
77094,2025,617532.58,6.08
77095,2023,307027.07,10.91
77095,2024,323464.11,5.35
77095,2025,329997.13,2.02
77096,2023,448574.64,9.12
77096,2024,462500.51,3.1
77096,2025,475653.87,2.84
77098,2023,885042.69,9.12
77098,2024,883963.55,-0.12
77098,2025,921282.77,4.22
77099,2023,201781.75,12.22
77099,2024,212903.85,5.51
77099,2025,218698.88,2.72
77251,2023,318768.96,9.09
77251,2024,302834.89,-5.0
77251,2025,301611.52,-0.4
77336,2023,337962.56,13.22
77336,2024,354134.85,4.79
77336,2025,359159.05,1.42
77338,2023,225835.75,12.39
77338,2024,231524.88,2.52
77338,2025,234079.01,1.1
77339,2023,301550.84,10.88
77339,2024,321709.69,6.69
77339,2025,334688.5,4.03
77345,2023,397468.51,10.67
77345,2024,426250.42,7.24
77345,2025,440876.51,3.43
77346,2023,321346.25,11.64
77346,2024,333509.0,3.78
77346,2025,334998.07,0.45
77357,2023,226040.56,21.0
77357,2024,221455.89,-2.03
77357,2025,290642.12,31.24
77365,2023,416978.95,10.0
77365,2024,395172.67,-5.23
77365,2025,412736.26,4.44
77373,2023,237327.7,13.69
77373,2024,247273.31,4.19
77373,2025,252207.27,2.0
77375,2023,374974.0,13.53
77375,2024,396323.82,5.69
77375,2025,415012.16,4.72
77377,2023,408082.8,12.89
77377,2024,432144.97,5.9
77377,2025,455087.87,5.31
77379,2023,364484.62,11.03
77379,2024,382391.04,4.91
77379,2025,391010.58,2.25
77388,2023,288444.06,10.78
77388,2024,301268.0,4.45
77388,2025,307914.95,2.21
77389,2023,506631.81,12.23
77389,2024,538051.37,6.2
77389,2025,575982.83,7.05
77396,2023,270887.8,11.42
77396,2024,284410.71,4.99
77396,2025,289263.01,1.71
77401,2023,992488.41,8.4
77401,2024,1037347.3,4.52
77401,2025,1094022.61,5.46
77429,2023,374799.59,10.91
77429,2024,398302.21,6.27
77429,2025,408246.2,2.5
77433,2023,426960.06,13.01
77433,2024,450402.4,5.49
77433,2025,469609.5,4.26
77443,2023,600672.25,9.88
77443,2024,668810.0,11.34
77443,2025,676729.0,1.18
77447,2023,304834.33,10.97
77447,2024,306579.95,0.57
77447,2025,314968.87,2.74
77449,2023,259657.75,12.76
77449,2024,266189.62,2.52
77449,2025,272374.57,2.32
77450,2023,340758.17,11.5
77450,2024,360169.29,5.7
77450,2025,377405.52,4.79
77477,2023,209368.7,10.61
77477,2024,214730.01,2.56
77477,2025,223441.81,4.06
77484,2023,305779.11,12.18
77484,2024,325682.99,6.51
77484,2025,315642.69,-3.08
77489,2023,262872.46,14.41
77489,2024,276492.83,5.18
77489,2025,287548.09,4.0
77493,2023,335066.26,13.25
77493,2024,342363.45,2.18
77493,2025,349175.3,1.99
77494,2023,336399.35,12.15
77494,2024,358195.91,6.48
77494,2025,377929.11,5.51
77498,2025,296655.0,4.97
77501,2023,335536.0,10.0
77501,2024,358273.0,6.78
77501,2025,358273.0,0.0
77502,2023,185192.65,11.53
77502,2024,190989.39,3.13
77502,2025,196859.23,3.07
77503,2023,180960.96,11.36
77503,2024,192065.57,6.14
77503,2025,200363.44,4.32
77504,2023,249647.42,7.66
77504,2024,260420.29,4.32
77504,2025,271818.28,4.38
77505,2023,296775.65,10.29
77505,2024,305401.27,2.91
77505,2025,317716.03,4.03
77506,2023,139460.21,12.6
77506,2024,147445.75,5.73
77506,2025,152738.88,3.59
77520,2023,152585.94,13.09
77520,2024,160326.6,5.07
77520,2025,166750.14,4.01
77521,2023,239249.38,10.98
77521,2024,246182.58,2.9
77521,2025,250433.07,1.73
77523,2023,272610.85,11.49
77523,2024,279039.72,2.36
77523,2025,264122.5,-5.35
77530,2023,192379.02,12.77
77530,2024,198700.91,3.29
77530,2025,204869.54,3.1
77532,2023,259687.21,11.88
77532,2024,270061.29,3.99
77532,2025,278749.76,3.22
77535,2023,171636.17,25.35
77535,2024,214043.0,24.71
77535,2025,224928.71,5.09
77536,2023,265744.28,10.34
77536,2024,272895.14,2.69
77536,2025,280282.17,2.71
77546,2023,307867.74,10.36
77546,2024,316951.69,2.95
77546,2025,334167.32,5.43
77547,2023,131355.81,17.34
77547,2024,137445.49,4.64
77547,2025,144835.19,5.38
77562,2023,208898.44,13.4
77562,2024,215856.68,3.33
77562,2025,229228.78,6.19
77571,2023,256174.77,11.25
77571,2024,260219.89,1.58
77571,2025,264286.78,1.56
77573,2024,228729.0,0.0
77573,2025,248703.0,8.73
77581,2023,391898.94,11.71
77581,2024,417088.04,6.43
77581,2025,439098.89,5.28
77586,2023,390426.84,9.71
77586,2024,393381.78,0.76
77586,2025,410527.65,4.36
77587,2023,175262.26,12.66
77587,2024,185182.44,5.66
77587,2025,194758.93,5.17
77597,2023,430533.0,10.0
77597,2024,440215.0,2.25
77597,2025,475000.0,7.9
77598,2023,281776.47,13.1
77598,2024,292660.38,3.86
77598,2025,311621.97,6.48
